분류,유저,챗봇
용어,복덕방,"복덕방
부동산중개업소(공인중개사사무소)를 부르는 세간의 말이다. 조선시대 부동산의 거래를 담당하던 자의 업무장소, 복과 덕을 주는 곳이라 하여 복덕방이라 하였다. 조선조 중엽 이후(18세기 초)에 이르러 집을 중개하는 것을 가거간이라 하고 그 중개업자를 가거간꾼이라 했다한다. 이때 중개를 생기복덕(生起福德)이라 하고, 복을 중개하여 복과 덕이 일어난다는 뜻에서 그들이 일하는 곳을 복덕방이라 하였다 한다.이러한 복을 중개하는 사람, 즉 흥정을 붙이는 사람을 ‘집주름’ 혹은 ‘가쾌’(家僧)라 하였는데, 이들은 집뿐 아니라 토지를 비롯한 가옥의 매매 · 임차 및 전당 등의 중개에 종사하였다 한다.원래 복덕방영업은 서울에서 발생하여 존속하던 것으로 거간꾼이 하는 일종의 자유업이었다. 조선조 말까지는 이 거간에 대한 제한이 없었으나, 개항 이후 한성에 외국인이 증가하고 지방으로부터 인구가 유입되면서 토지와 가옥의 매매가 급증하여 복덕방영업을 하는 집주름들이 무질서하게 늘었고 이를 규제할 필요성이 생겼다.그리하여 한성부는 1890년 5월 5일 객주거간규칙(客主居間規則)을 제정하여 가쾌를 통제하게 되었는데, 이것이 중개업을 최초로 제도화하는 계기가 되었으며, 이 인허가제는 한일합방직후인 1910년 9월 폐지되고, 자유영업제로 전환되었다.광복 후 복덕방은 6 · 25동란까지 서울 · 부산 · 대구 등 대도시에 편재되어 있었으며, 농촌이나 소도시는 리(里) · 동장이나 사법서사(법무사)가 사실상 복덕방을 대행했다고 한다. 이 시기에도 복덕방은 노인층이 주류였다고 한다."
용어,건축신고,"건축신고
건축허가를 받지 않고도 허가권자에게 서면을 제출하여 건축하는 것을 건축신고라 한다. 규모가 크지 않고 환경 등에 영향이 적은 건축물은 허가의 예외를 인정하여 미리 특별자치시장 · 특별자치도지사 또는 시장 · 군수 · 구청장에게 신고만 하면 건축허가를 받은 것으로 간주한다.건축신고로 할 수 있는 건축행위는 ① 바닥면적의 합계가 85m2 이내의 증축 · 개축 또는 재축,② 국토의 계획 및 이용에 관한 법률에 따른 관리지역, 농림지역 또는 자연환경보전지역에서 연면적이 200제곱미터 미만이고 3층 미만인 건축물의 건축(단 지구단위계획구역, 방재지구 등 재해취약지역에서의 건축은 제외),③ 연면적이 200제곱미터 미만이고 3층 미만인 건축물의 대수선,④ 주요구조부 해체가 없는 대수선,⑤ 그 외 소규모 건축물로 연면적의 합계가 100제곱미터 이하인 건축물,⑥ 건축물의 높이를 3미터 이하의 범위에서 증축하는 건축물,⑦ 표준설계도서에 따라 건축하는 건축물로서 그 용도 및 규모가 주위환경이나 미관에 지장이 없다고 인정하여 건축조례로 정하는 건축물,⑧ 공업지역, 지구단위계획구역(산업 · 유통형만 해당) 및 산업단지에서 건축하는 2층 이하인 건축물로서 연면적 합계 500제곱미터 이하인 공장,⑨ 농업이나 수산업을 경영하기 위하여 읍 · 면지역(특별자치시장 · 특별자치도지사 · 시장 · 군수가 지역계획 또는 도시계획에 지장이 있다고 지정 · 공고한 구역은 제외)에서 건축하는 연면적 200제곱미터 이하의 창고 및 연면적 400제곱미터 이하의 축사나 작물재배사(作物栽培舍)는 신고만 하고 건축할 수 있다.건축신고를 한 자가 신고일부터 1년 이내에 공사에 착수하지 않으면 그 신고의 효력은 없어진다. 근거는 건축법과 동법 시행령이다."
용어,한계지,"한계지
도시토지이용과 농촌토지이용의 경계지점 토지를 한계지라 한다.도시가 커지면서 한계지는 밖으로 밀려나고 점점 더 멀리 나간다. 교통수단 발달이 이를 촉진시킨다. 경제성장이 왕성할 때는 토지수요가 많아서 한계지는 택지로 용도전환 되는 수가 많고 지가상승이 빠르고 장래의 개발이익 현재화로 농지가격과 상관없이 높게 형성된다. 관리지역의 예를 상기하면 좋다. 택지이용의 최원방권(最遠方圈)의 토지라고도 한다. 이러한 곳에 택지후보지가 많이 있다."
용어,간선시설,"간선시설
공동주택을 지으려면 생활에 필요한 기간시설(基幹施設)인 도로 · 상하수도 · 전기시설 · 가스시설 · 통신시설 및 지역난방시설을 설치해야 하는데, 단지 밖에 이러한 시설이 설치된 곳에서 단지까지 연결하는 시설을 간선시설이라 한다(가스시설 · 통신시설 및 지역난방시설은 주택단지 안의 기간시설을 포함한다).이 중 도로 및 상하수도는 지방자치단체가 설치해야 하며, 전기시설 · 통신시설 · 가스시설 또는 지역난방시설은 각각 전기 · 통신 · 가스 또는 난방을 공급하는 자가 설치해야하고, 우체통은 국가가 설치해야 하며, 이들을 설치의무자라 한다. 설치의무자는 사용검사일 까지 설치를 완료해야 하며 비용도 부담해야 한다. 다만 도로와 상하수도시설은 국가가 비용의 2분의 1범위 안에서 보조할 수 있다. 설치의무자가 설치해야 할 시설의 종류와 설치 범위는 다음과 같다.즉 도로는 주택단지 밖의 기간이 되는 곳으로부터 주택단지의 경계선까지로 하되 그 길이가 200미터를 초과하는 부분이며, 상 · 하수도시설은 주택단지 밖의 기간이 되는 곳으로부터 주택단지의 경계선까지의 시설로 하되 그 길이가 200미터를 초과하는 부분이며, 전기시설은 주택단지 밖의 기간이 되는 곳으로부터 주택단지의 경계선까지이고, 가스공급시설은 주택단지 밖의 기간이 되는 가스공급시설로부터 주택단지의 경계선까지로 하되, 주택단지 안에 취사 및 개별난방용으로 가스를 공급하기 위하여 정압조정실을 설치하는 경우에는 그 정압조정실까지로 하며, 통신시설(세대별 전화시설)의 관로시설은 주택단지 밖의 기간이 되는 시설로부터 주택단지 경계선까지, 케이블시설은 주택단지 밖의 기간이 되는 시설로부터 주택단지안의 최초 단자까지로 하며, 그리고 지역난방시설은 주택단지 밖의 기간이 되는 열수송관의 분기점(당해 주택단지에서 가장 가까운 분기점을 말한다)으로부터 주택단지 내의 각 기계실입구 차단밸브까지이다.그런데 도로 및 상하수도시설은 설치의무자인 지방자치단체가 주택건설사업자에게 사업승인을 이유로 대신 설치하게 하거나 비용을 징수하는 사례가 있고, 지자체마다 요구하는 수준이 다르지만 그 비용이 클 때는 사업자의 비용이 증가하므로 사업자는 사업계획을 승인받기 전에 미리 알아보고 사업계획을 세워야 한다. 관련법은 주택법이다. 기간시설 참조."
용어,판매촉진,"판매촉진
판매촉진은 써포팅 프로모션(supporting promotion)으로써 그 의미가 ""판매증진을 위한 모든 활동""의 최광의로부터 특매책(特賣策)과 공동광고만을 의미하는 최협의까지 각양각색으로 해석한다.그러나 대체로 목표하는 시장의 반응을 빠르고 강력하게 자극하기 위해 계획되는 단기적인 유인으로서 촉진수단을 말한다. 이에는 광고 · 홍보 및 인적 판매를 제외한 모든 촉진활동이 해당된다. 판매촉진 수단은 견본주택, 경품, 하자보수, 가구의 제공 등의 소비자촉진수단과 매입공제금, 무료상품, 공동광고 등의 거래촉진수단 그리고 상여금, 경진대회, 판매원 집회 등의 판매원촉진수단이 있다."
용어,발주자,"발주자
건설공사 전부를 건설업자에게 최초로 위탁하는 자 또는 공사를 공사업자에게 도급하는 자를 말한다. 다만, 수급인(受給人)으로서 도급받은 공사를 하도급(下都給)하는 자는 제외한다. 사업자가 다른 사업자에게 물품 또는 용역 등을 제조 · 수리 위탁하여 납품받거나 건설공사를 건설업체에게 건설 위탁하여 공사를 시공하게 할 경우 당해 물품 또는 용역의 제조 · 수리나 건설공사를 최초로 위탁하는 사업자를 말한다.통상적으로 사업자는 자기의 사업활동에 소요되는 물품 또는 용역을 전문납품업체를 통해 공급받거나 각종 공사를 건설업체를 통해 시공하게 하는 경우가 대부분이며 이러한 행위는 주로 하도급 거래의 형태로 이루어지고 있다. 관련법은 건설산업기본법이다."
용어,후보지,"후보지
임지지역(山林地域), 농지지역, 택지지역 상호 간에 다른 지역으로 전환되고 있는 어느 지역의 토지를 말한다.임지는 농지후보지로 농지는 택지후보지로 전환되는 수가 많지만 반대의 경우도 있다. 토지가 집약적 이용 방향으로 진행되는 토지를 일컫는 말이다. 성숙도가 높은 방향으로 진행되는 토지이며 어떤 지역에 인구가 많아지거나 도시가 확장될 때 일어나는 현상이며 토지가치가 상승한다."
용어,전형계약 · 비전형계약,"전형계약 · 비전형계약
일상생활에 많이 이용되는 것으로 민법전에 규정되어 있는 계약을 전형계약 혹은 유명계약(有名契約)이라 하고 그 외의 계약을 비전형계약이라 한다. 증여, 매매, 교환, 소비대차, 사용대차, 임대차, 고용, 도급, 위임, 임치, 조합, 종신정기금, 화해, 현상광고, 여행계약의 15종이 있다.실생활에서는 계약자유의 원칙에 따라 다양한 계약이 성립되므로 모든 계약이 전형계약과 반드시 합치되지는 않는다. 이 경우를 비전형 계약이라 하며, 비전형 계약은 계약 자유의 원칙 및 거래 관계가 복잡해져 전형계약 상호간 혹은 다른 요소와 혼합되거나 전형계약의 내용과 다른 특수한 계약의 형태로 생성되고 있다."
용어,중개대상물의 범위,"중개대상물의 범위
공인중개사법상 중개대상물의 범위는 토지, 건축물 그 밖의 토지정착물과 그 밖에 대통령령이 정하는 재산권 및 물권을 한정 하고 있다.이 법에서 대통령령이 정하는 중개 대상물은 입목에 관한 법률상 입목으로 토지에 부착된 수목의 집단으로서 그 소유자가 이법에 따라 소유권 보전의 등기를 받은 입목, 공장 및 광업재단 저당법에 따른 공장재단 및 광업재단이다."
용어,수증자,"수증자
유증을 받는 사람 즉 유증으로 이익을 얻게 되는 사람을 말한다. 수증자는 자연인뿐만 아니라 법인도 가능하다. 수증자는 세법상 수유자(授遺者)라고도 하는데, 자연인이 수증자가 되기 위해서는 유언이 효력을 발생하는 때, 즉 유언자가 사망할 때에 생존하고 있어야 한다. 유언자의 사망 전에 수증자가 사망한 경우 유증은 그 효력이 생기지 않는다.정지조건부 유증에서는 수증자는 조건성취 시에 생존하고 있어야 하며, 조건 성취 전에 사망한 때에는 그 효력이 생기지 않는다. 태아도 수증자가 될 수 있는데 유언자가 사망한 때 태아인 상태이어야 한다.근거법은 민법이다."
용어,전용면적,"전용면적
아파트 등 공동주택에서 소유자가 독점하여 사용하는 부분의 면적을 말한다. 전용면적(실면적)은 각 세대가 독립적으로 사용하는 전용부분으로 공용 공간(거실, 주방, 욕실, 화장실)과 독점공간(침실)으로 구분할 수 있다.전용면적을 측정하는 방법은 벽심법과 내법의 2가지 방법이 있는데, 벽심법(壁心法)은 외벽의 중심선으로 둘러싸인 부분의 수평투영면적으로 계산하고, 내법은 전용부분 벽의 내부에 둘러 싸인 선으로 계산한다. 우리나라는 벽심법을 이용한다. 단독주택은 바닥면적에서 지하실, 본 건축물과 분리된 창고, 차고 및 화장실의 면적을 제외한 면적을 말한다.관련법은 건축법이다."
용어,중개업자금지행위,"중개업자금지행위
개업공인중개사가 해서는 안 되는 행위를 말한다. 다음과 같은 것이 있으며 위반하면 행정처분을 받는다.① 중개대상물의 매매를 업으로 하는 행위② 중개사무소의 개설등록을 하지 아니하고 중개업을 영위하는 자인 사실을 알면서 그를 통하여 중개를 의뢰받거나 그에게 자기의 명의를 이용하게 하는 행위③ 사례 · 증여 그 밖의 어떠한 명목으로도 규정에 의한 수수료 또는 실비를 초과하여 금품을 받는 행위④ 당해 중개대상물의 거래상의 중요사항에 관하여 거짓된 언행 그 밖의 방법으로 중개의뢰인의 판단을 그르치게 하는 행위⑤ 관계 법령에서 양도 · 알선 등이 금지된 부동산의 분양 · 임대등과 관련 있는 증서 등의 매매 · 교환 등을 중개하거나 그 매매를 업으로 하는 행위⑥ 중개의뢰인과 직접 거래를 하거나 거래당사자 쌍방을 대리하는 행위⑦ 탈세 등 관계 법령을 위반할 목적으로 소유권보존등기 또는 이전등기를 하지 아니한 부동산이나 관계 법령의 규정에 의하여 전매 등 권리의 변동이 제한된 부동산의 매매를 중개하는 등 부동산투기를 조장하는 행위."
용어,환매특약,"환매특약
환매 할 것을 약속한 특별한 약속 및 계약을 말한다. 일정 기간이 경과한 후 매도 물건을 다시 사들일 것을 약속한 계약을 뜻하며 그 기간은 부동산은 5년 동산은 3년을 넘지 못한다.목적물이 부동산일 경우는 매매등기와 동시에 환매권의 보유(保留)를 등기하여야 하며 따라서 동시에 하지 않은 등기는 무효이다. 환매특약등기를 하면 제3자에 대하여 효력이 미치므로 환매기간 중에 제3자가 목적물을 취득하더라도 그 제3자에 대하여도 환매권을 실행할 수 있다."
용어,계약금,"계약금
부동산을 팔고사거나 임대차 계약을 체결할 때 약정의 표시로 상대방에게 지급하는 금전 등을 말한다. 부동산 거래에서는 거래금액의 10% 정도의 계약금을 계약할 때 상대방에게 지급하는 것이 관례이다. 계약금은 증약금(證約金), 위약계약금, 해약금(解約金) 등의 법적 성질이 있다.민법에서는 매매의 당사자일방이 계약 당시에 금전 기타 물건을 계약금, 보증금 등의 명목으로 상대방에게 교부한 때에는 당사자 간에 다른 약정이 없는 한 당사자의 일방이 이행에 착수할 때까지 교부자는 이를 포기하고 수령자는 그 배액을 상환하여 매매계약을 해제할 수 있다고 규정하였다. 이때 이것은 해약금의 성격이 있다. 근거법은 민법이다."
용어,길어깨,"길어깨
도로를 보호하고 비상시에 이용하기 위하여 차도에 접속하여 설치하는 도로의 부분을 말한다. 도로의 유효폭 이외에 도로변의 노면 폭에 여유를 두기 위하여 넓힌 부분이다. 비상통행이나 비상정차를 할 수 있는 곳이다. 도로에는 차도와 접속하여 길어깨를 설치하여야 한다. 다만, 보도 또는 주정차대가 설치되어 있는 경우에는 설치하지 아니할 수 있다.차도의 오른쪽에 설치하는 길어깨의 폭은 도로의 구분과 설계속도에 따라 일정한 폭 이상으로 설치를 의무화하였다. 근거는 도로의 구조 · 시설 기준에 관한 규칙이다."
용어,방해배제청구권,"방해배제청구권
공공의 위법한 행정행위 침해가 자신의 법률상 이익을 침해하고 있을 때, 또는 물권의 내용이 정당한 근원(根源)이 없는 행위로 방해를 받고 있을 때, 그 행정주체나 침해자에게 그 위법한 침해를 제거해 줄 것을 청구할 수 있는 권리를 말한다. 예를 들어 갑의 사유지에 공공 행정주체가 무단으로 도로를 낼 경우, 갑이 공공주체에게 자신의 사유지를 본래의 상태로 되돌려줄 것을 청구하는 것이다.대상이 되는 목적물은 토지 소유권이나 점유권, 통행권, 환경권 등 다양하다. 행정상의 원상회복 또는 결과제거청구권으로도 부른다."
용어,공동주택,"공동주택
대지(垈地) 및 건물의 벽 · 복도 · 계단 기타 설비 등의 전부 또는 일부를 공동으로 사용하는 각 세대가 하나의 건축물 안에서 각각 독립된 주거생활을 영위할 수 있는 구조로 된 주택을 말한다. 공동주택은 아파트, 연립주택, 다세대주택이 있다.아파트는 주택으로 쓰이는 층수가 5개 층 이상인 주택이며, 연립주택은 주택으로 쓰이는 1개동의 바닥면적(지하주차장 면적을 제외)의 합계가 660제곱미터를 초과하고 층수가 4개층 이하인 주택이고, 다세대주택은 주택으로 쓰이는 1개 동의 바닥면적(지하주차장 면적을 제외)의 합계가 660제곱미터 이하이고, 층수가 4개 층 이하인 주택(2개 이상의 동을 지하주차장으로 연결하는 경우에는 각각의 동으로 보며, 지하주차장 면적은 바닥면적에서 제외)이다.주택법에는 기숙사를 제외한 아파트, 연립주택 및 다세대주택으로 규정해 놓았고, 건축법에는 공동주택의 형태를 갖춘 가정보육시설, 공동생활가정, 지역아동센터, 노인복지시설(노인복지주택은 제외) 및 원룸형 주택을 포함시키고 있다. 관련법은 건축법 및 주택법이다."
용어,공공업무시설,"공공업무시설
국가 또는 지방자치단체의 청사와 외국공관의 건축물로서 제1종 근린생활시설에 해당하지 않는 업무시설을 말한다. 업무시설은 공공업무시설 외에 일반업무시설이 있다. 일반업무시설은 금융업소, 사무소, 결혼상담소 등 소개업소, 출판사, 신문사 그 밖에 이와 비슷한 것으로 제2종 근린생활시설에 해당하는 것, 오피스텔이 있다. 근거법은 건축법이다(시행령 별표 참조)."
용어,의료시설,"의료시설
사람의 병을 치료하는데 이용하는 건축물이나 그 공간을 말한다. 건축법상 용도분류로 다음과 같은 시설을 말한다.① 병원－종합병원, 병원, 치과병원, 한방병원, 정신병원 · 요양병원② 격리병원－전염병원, 마약진료소 및 기타 이와 유사한 것으로 볼 수 있다."
용어,생애주기비용,"생애주기비용
빌딩 등의 건물을 기획, 설계, 건축하고, 유지관리하고 폐기하기 위해 소요되는 비용의 총액을 말한다. 건축 초기에 들어가는 기획 및 건축비용과 그 후 이용상 필요한 운용비용으로 크게 구분할 수 있다.운용비용은 관리비, 수선비, 광열비, 해체 폐기비용 등이 포함되며, 생애주기비용 전체에서 보면 건설비는 적고 운용비용이 많이 들어간다. 보통 초기건설비용은 30~40%가 들어가고, 그 후 운용비용 및 해체비용 등은 60~70%에 달하는 것으로 알려져 있다."
용어,메자닌금융,"메자닌금융
메자닌은 건물 1층과 2층 사이에 있는 중간층을 뜻하는 이탈리아어로 메자닌 캐피탈이란 자본과 부채의 중간적인 성격이 있는 재원을 통칭한다. 후순위대출이나 우선주 등이 이에 해당한다. 메자닌 캐피탈은 투자자의 보호 장치로 활용하거나 다양한 투자자금을 끌어들이기 위해 사용된다.후순위대출 등 메자닌 캐피탈을 이용할 경우 일반 순위 대출을 제공한 대주(貸主)의 입장에서는 사실상 지분과 같은 역할을 하기 때문에 프로젝트의 신뢰도가 향상되고, 투자금의 원리금 회수 가능성이 높아진다.후순위대출의 경우 보통 위험이 높은 만큼 일반대출보다 금리가 높아 고위험-고수익을 원하는 투자자를 끌어들이는데 활용이 가능하다. 전환사채 등 지분으로 전환할 수 있는 부채자금의 경우 투자자는 표면금리는 일반대출보다 낮지만 장래 지분으로 전환함에 따른 자본이득을 얻을 수 있다. 개발자는 이자비용을 손비처리할 수 있기 때문에 세제혜택을 겨냥하여 메자닌 캐피탈을 활용하는 경우도 있다.이런 메자닌 캐피탈은 건설금융에서 총비용과 조달된 자금 사이의 차액의 70~80%를 메워 주는 역할을 하며, 담보가 약하기 때문에 이자율이 높은 편이다. 이 메자닌 캐피탈은 개발자에게 투자자금의 조기회수 기회와 건설에 대한 리스크를 줄여주는 역할도 있다."
용어,대토보상,"대토보상
현금대신 토지로 보상하는 것을 말한다. 손실보상은 현금보상이 원칙이지만, 토지소유자가 원하는 경우로서 사업시행자가 해당 공익사업의 합리적인 토지이용계획과 사업계획 등을 고려하여 토지로 보상이 가능한 경우에는 토지소유자가 받을 보상금 중 현금 또는 채권으로 보상받는 금액을 제외한 부분에 대하여 공익사업의 시행으로 조성한 토지로 보상할 수 있다. 근거법은 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률이다."
용어,비상용승강기,"비상용승강기
고층건물의 안전을 확보하기 위해 추가로 설치하는 승강기를 말한다. 높이 31미터를 초과하는 건축물에는 이동용 승강기뿐만 아니라, 비상용승강기를 추가로 설치하여야 한다. 다만 높이 31미터 넘는 각층을 거실 외 용도로 쓰는 건축물, 각층 바닥면적 합계가 500제곱미터 이하인 건축물, 31미터를 넘는 층수가 4개층 이하로서 당해 각층의 바닥면적의 합계 200제곱미터(벽 및 반자가 실내에 접하는 부분의 마감을 불연재료로 한 경우에는 500제곱미터)이내마다 방화구획으로 구획한 건축물은 예외다.관련법은 건축법이다."
용어,직계존속,"직계존속
조상으로부터 직선으로 계속하여 자기에 이르기까지의 혈족을 일컫는 말로서, 부모 · 조부모 · 증조부모 · 고조부모 등을 말한다. 직계비속과 반대되는 개념이다."
용어,고도제한,"고도제한
건축법, 항공법 등 여러 법령에 규정해 놓은 건축물 및 공작물의 높이를 제한하는 규제를 말한다. 주변에 공항이나 군부대 시설이 산재해 있는 수도권 지역에서는 많은 지역이 비행 안전구역으로 고도제한을 받고 있는데, 이 때문에 사유재산권 행사와 마찰이 생기고 있다. 서울 잠실의 제2롯데월드가 대표적인 예이다."
용어,불법점유자,"불법점유자
소유권 없이 남의 토지에 무단으로 거주하고 있는 사람을 말한다. 자기소유가 아닌 토지에 무단으로 건축한 주택을 소유하고 있는 주택 불법점유자와 극히 빈곤하여 주택을 소유할 능력도 없어 주택 불법점유자의 주택 일부를 임대료를 지불하고 점유하고 있는 임대차 불법점유자로 나뉜다. 소유권 관리가 미흡한 국공유지를 점유하여 사는 경우가 많다."
용어,연석,"연석
차도와 보도를 구분하기 위해 설치한 돌 등을 말한다. 보행의 안전, 노면배수, 시선유도, 도로용지의 경계, 유지관리 등의 편의를 위하여 보도, 식수대 등과 차도의 경계선에 연접하여 설치하는 경계석이다.연석은 보행자나 자전거를 자동차로부터 보호하고 차도를 이탈한 차량의 진행방향을 변화시키는 등의 역할을 하며, 차도와 보도를 구분하기 위하여 차도에 접하여 연석을 설치하는 경우에는 그 높이를 25센티미터 이하로 해야 한다.관련법은 도로의 구조 · 시설 기준에 관한 규칙이다."
용어,최저주거기준,"최저주거기준
국민이 살아야 하는 주택의 최저수준을 건설교통부장관이 정하여 공고한 기준을 말한다. 이 기준은 정부가 국민의 최저한도 주거생활을 보장하려는 정책목표를 실현하려는 수단이다.최저주거기준의 내용은 가구구성별 최소 주거면적, 용도별 방의 개수, 전용부엌, 화장실 등 필수적인 설비의 기준, 안전성, 쾌적성 등을 고려한 주택의 구조, 성능 및 환경 기준이 있다. 정부는 최저주거기준에 미달하는 가구에 우선하여 주택을 공급하거나 개량자금을 지원하는 혜택을 주며, 주택정책을 수립할 때 이 기준에 미달되는 가구를 줄이기 위해 노력하고 있다.또 이 기준에 미달되는 가구가 밀집된 지역에는 우선하여 임대주택을 건설하거나 도시 및 주거환경정비법에 정하는 바에 따라 우선하여 정비사업을 할 수 있도록 필요한 조처를 할 수 있도록 법에 정해 놓고 있다.2018년 기준 최저주거기준을 보면① 1인가구는 실(방) 구성: 1(침실수) K(부엌), 총주거면적 : 14m2② 2인가구(부부)는 실(방)구성 : 1 DK(식사실 겸 부엌), 총주거면적: 26m2③ 3인가구(부부+자녀1)는 실(방)구성: 2 DK, 총주거면적 : 36m2④ 4인가구(부부+자녀2)는 실(방)구성 : 3 DK, 총주거면적 : 43m2⑤ 5인가구(부부+자녀3)는 실(방)구성 : 3 DK, 총주거 면적 : 46m2⑥ 6인가구(노부모+부부+자녀2)는 실(방)구성 : 4 DK, 총주거면적 : 55m2.주거실태조사 결과에 따르면 2018년 현재 최저주거기준 미달가구 비율은 2006년 16.6%에 비하여 약 1/3 수준에 불과한 5.7%로 조사되었다.관련법은 주거기본법과 주거취약계층 주거지원 업무처리지침 및 최저주거기준(국토해양부공고 제2011-490호, 2011.5.27.)이다."
용어,층간소음관리위원회,"층간소음관리위원회
공동주택 입주자 등의 층간소음 분쟁의 예방, 조정, 교육 등을 위하여 자치적인 조직으로 구성하는 기구를 말한다. 서울시는 공동주택관리규약 준칙에 입주자대표회의의 층간소음 관리위원회를 두도록 다음과 같이 규정해 놓았다.즉 층간소음관리위원회는 동별대표자 1인, 관리사무소장, 선거관리위원회 위원 1인, 부녀회 또는 경로회 회원 1인, 입주자 등에서 경륜이 있는 자 1인 이상 총 5인 이상으로 구성하고 임기는 2년으로 하며 위원장은 호선하도록 하였다."
용어,영업손실보상,"영업손실보상
공공사업 등의 시행으로 인한 토지나 건물의 매수 또는 수용으로 인하여 영업에 손실이 발생했을 때 영업이익과 시설의 이전 비용 등을 참작하여 지급하는 보상을 말한다.사업인정고시일 이전부터 보상계획공고일 현재까지 적법한 장소(무허가건축물 등, 불법형질변경토지, 그 밖에 다른 법령에서 물건을 쌓아놓는 행위가 금지되는 장소가 아닌 곳을 말한다)에서 인적 · 물적시설을 갖추고 계속적으로 하고 있는 영업(다만, 무허가건축물등에서 임차인이 영업하는 경우에는 그 임차인이 사업인정고시일등 1년 이전부터 부가가치세법 제8조에 따른 사업자등록을 하고 행하고 있는 영업을 말한다) 및 영업이 관계법령에 의거 허가 등을 필요로 하는 경우에는 사업인정고시일 등 전에 허가받아 그 내용대로 하고 있는 영업이 보상대상이다.영업폐지의 영업손실은 2년간 영업이익(개인영업은 소득)에 영업용 고정자산 · 원재료 · 제품 및 상품 등의 매각손실액을 더한 금액으로 평가한다.이때 영업이익은 해당 영업의 최근 3년간(특별한 사정으로 인하여 정상적인 영업이 이루어지지 아니한 연도를 제외한다)의 평균 영업이익을 기준으로 하여 이를 평가하되, 공익사업의 계획 또는 시행이 공고 또는 고시되어 영업이익이 감소된 경우에는 해당 공고 또는 고시일전 3년간의 평균 영업이익을 기준으로 평가한다.이 경우 개인영업으로서 최근 3년간의 평균 영업이익이 다음 산식에 의하여 산정한 연간 영업이익에 미달하는 경우에는 그 연간 영업이익을 최근 3년간의 평균 영업이익으로 본다.연간 영업이익 = 통계법 제3조제3호에 따른 통계작성기관이 같은 법 제18조에 따른 승인을 받아 작성 · 공표한 제조부문 보통인부의 노임단가×25(일)×12(월).관련법은 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률이다."
용어,자산유동화에 관한 법률,"자산유동화에 관한 법률
금융기관과 일반기업의 자금조달을 원활하게 하여 재무구조의 건전성을 높이고, 장기적으로 주택자금을 안정적으로 공급하여 주택금융기반을 확충하기 위하여 제정한 법률을 말한다.이 법은 자산유동화의 제도를 확립하며, 자산유동화로 발행되는 유동화증권에 투자한 투자자를 보호함으로써 국민경제의 건전한 발전에 기여함을 목적으로 1998년 9월 16일 제정하였다.우리나라의 외환위기(IMF, 1997) 이후 부동산경기의 침체, 주택건설사업자의 대량 도산 등으로 인하여 금융기관이 채권확보의 어려움을 경험하였고, 이러한 위험을 타개하기 위한 방법으로 부동산의 유동화 논의가 활발하게 제기되었는데, 이를 계기로 자산유동화에 관한 법률을 제정하였다.총칙, 자산유동화계획의 등록 및 유동화 자산의 양도 등, 유동화전문회사, 유동화증권의 발행, 보칙, 벌칙의 6장과 전문 42조 그리고 부칙으로 구성하였다."
용어,위험수익의 상쇄관계,"위험수익의 상쇄관계
부동산개발과정에서는 여러 가지 위험(risk)이 상존하는데, 개발이 완성도를 높여감에 따라, 부동산가치(수익)는 향상되고 위험도는 줄어들어 사업의 가치와 위험은 완성도에 따라 상쇄관계에 놓이게 된다. 이를 시장의 위험수익의 상쇄관계라 한다."
용어,층고,"층고
건축법상 건축물 층의 높이를 말한다. 이때 층고는 방의 바닥구조체 윗면으로부터 위층 바닥구조체의 윗면까지의 높이를 가리킨다. 그러나 동일한 방에서 층의 높이가 다른 부분이 있을 때는 그 각 부분의 높이에 따른 면적에 따라 가중 평균한 것을 높이로 한다."
용어,1가구1주택,"1가구1주택
정부가 주택정책의 목표로 삼고 있는 하나의 지표로 1가구당 1호의 주택을 공급한다는 것을 의미한다. 세대별 주민등록표에 기재되어 있는 세대주와 그 가족으로 구성된 1가구가 국내에 1개의 주택을 소유하는 것을 말한다.지방세법 시행령에서는 1주택을 여러 사람이 공동으로 소유하는 경우에도 공동소유자 각각 1주택을 소유하는 것으로 보고, 주택의 부속토지만을 소유하는 경우에도 주택을 소유하는 것으로 본다. 1주택을 여러 사람이 공동으로 상속받는 경우 지분이 가장 큰 상속인을 그 주택의 소유자로 본다. 이 경우 지분이 가장 큰 상속인이 두 명 이상일 경우에는 지분이 가장 큰 상속인중 그 주택에 거주하는 사람, 나이가 많은 사람의 순서로 그 주택의 소유자를 판정한다."
용어,담보대출,"담보대출
부동산을 물적 담보로 자금을 융통하는 금융거래를 말한다. 여기서 금융거래란 부동산을 담보로 대출하거나 또는 부동산 담보부(擔保付) 채권을 담보로 대출하는 것이며, 그 자금조달에 따른 경제 및 법률행위를 하는 담보금융(擔保金融)의 하나다. 주택을 구입할 때 자금이 부족하여 그 부족분을 금융기관에서 융자받고 장기간에 걸쳐 변제하면서 대신 담보로 저당권을 설정해준다.또 살아가는 중에 가계자금이 부족하거나 사업자금이 필요하여 부동산을 담보로 자금을 빌린다. 뿐만 아니라, 융자금을 다 갚고 노후에 수입이 적어 생활자금이 필요하면 다시 주택을 담보로 매월 생활비를 받아 쓸 수 있다. 이 모두 담보대출의 형태를 띠고 있다."
